[2025-12-21 01:15:28,118: INFO/MainProcess] beat: Starting...
[2025-12-21 05:30:00,169: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-21 05:45:00,000: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-21 06:00:00,000: INFO/MainProcess] Scheduler: Sending due task fine-tune-ethereum-12h (celery_tasks.fine_tune_coin)
[2025-12-21 07:30:00,000: INFO/MainProcess] Scheduler: Sending due task fine-tune-solana-daily (celery_tasks.fine_tune_coin)
[2025-12-21 08:00:00,000: INFO/MainProcess] Scheduler: Sending due task fine-tune-cardano-daily (celery_tasks.fine_tune_coin)
[2025-12-21 12:30:02,513: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-21 12:30:02,523: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-21 17:30:00,113: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-21 17:45:00,096: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-21 18:29:55,951: INFO/MainProcess] Scheduler: Sending due task fine-tune-ethereum-12h (celery_tasks.fine_tune_coin)
[2025-12-21 21:35:04,423: INFO/MainProcess] beat: Starting...
[2025-12-21 23:30:00,158: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-21 23:45:00,011: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-22 06:32:27,537: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-22 06:32:27,631: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-22 06:32:27,643: INFO/MainProcess] Scheduler: Sending due task fine-tune-ethereum-12h (celery_tasks.fine_tune_coin)
[2025-12-22 08:19:31,783: INFO/MainProcess] Scheduler: Sending due task fine-tune-solana-daily (celery_tasks.fine_tune_coin)
[2025-12-22 08:19:31,796: INFO/MainProcess] Scheduler: Sending due task fine-tune-cardano-daily (celery_tasks.fine_tune_coin)
[2025-12-22 11:47:18,274: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-22 11:47:18,286: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
